,year,timestep,stand_age,disturb_mort,disturb_bio_remove,lai_scalar,fol_n,npp_decline_scalar,wood_mort_rate,snag_fall_rate,snag_decay_rate,dwd_decay_rate,wood_production,wood_biomass,bark_biomass,standing_necromass,downed_necromass,standing_necromass_N,standing_necromass_CN,downed_necromass_N,downed_necromass_CN,standing_necromass_bark,downed_necromass_bark,standing_necromass_bark_N,standing_necromass_bark_CN,downed_necromass_bark_N,downed_necromass_bark_CN,wood_necromass,wood_necromass_N,bark_necromass,bark_necromass_N,total_necromass,total_necromass_N
12,1931,12,12.0,0.0,0.0,0.65,2.5,1.0,0.014942528735632184,0.08112874779541447,0.03902439024390244,0.0729064039408867,357.5,2363.0932107200388,0.0,110.10934784988811,35.22163170404036,0.19000973762579607,15.023277712251879,0.08074418426621063,12.49258180384118,0.0,0.0,0.0,646.7014925373135,,,145.33097955392847,0.2707539218920067,0.0,,145.33097955392847,
13,1932,13,13.0,0.0,0.0,0.7,2.5,1.0,0.015056818181818182,0.07928531546622,0.038047138047138045,0.07136150234741784,385.0,2712.7826225138774,0.0,133.6589428185277,43.85117500898732,0.23175511477008331,15.856717976977157,0.10225737321949906,13.15169781642463,0.0,0.0,0.0,696.4477611940298,,,177.51011782751502,0.3340124879895824,0.0,,177.51011782751502,
14,1933,14,14.0,0.0,0.0,0.75,2.5,1.0,0.015168539325842697,0.07761828814460395,0.03713355048859935,0.06995515695067264,412.5,3084.4367477998903,0.0,160.14762610299437,53.81083765727669,0.27892850282030546,16.664353541300997,0.12739378354893502,13.82917960039515,0.0,0.0,0.0,746.1940298507462,,,213.95846376027106,0.4063222863692405,0.0,,213.95846376027106,
15,1934,15,15.0,0.0,0.0,0.8,2.5,1.0,0.015277777777777777,0.07610350076103502,0.03627760252365931,0.06866952789699571,440.0,3477.6503476928133,0.0,189.7055758030311,65.19936519027168,0.33179437711869475,17.448455506159373,0.1566901503982722,14.475342192521701,0.0,0.0,0.0,795.9402985074627,,,254.90494099330277,0.4884845275169669,0.0,,254.90494099330277,
16,1935,16,16.0,0.0,0.0,0.85,2.5,1.0,0.015384615384615385,0.07472100921882581,0.03547400611620795,0.06748971193415639,467.5,3892.019578491951,0.0,222.45668190389677,78.11533906192653,0.39060562703279267,18.211045678653694,0.1902112767986322,15.137129508074644,0.0,0.0,0.0,845.6865671641791,,,300.5720209658233,0.5808169038314248,0.0,,300.5720209658233,
17,1936,17,17.0,0.0,0.0,0.9,2.5,1.0,0.01548913043478261,0.07345420734542074,0.03471810089020771,0.06640316205533597,495.0,4327.14235420746,0.0,258.5186300803156,92.6569971554774,0.45560359074680756,18.953927657878108,0.228663306002808,15.768604064676799,0.0,0.0,0.0,895.4328358208955,,,351.17562723579294,0.6842668967496155,0.0,,351.17562723579294,
18,1937,18,18.0,0.0,0.0,0.95,2.5,1.0,0.015591397849462365,0.07228915662650602,0.0340057636887608,0.06539923954372624,522.5,4782.6186818732685,0.0,298.0029896876388,108.92205877695386,0.5270181162896026,19.67871347183193,0.2719479531052611,16.4135894207571,0.0,0.0,0.0,945.179104477612,,,406.92504846459263,0.7989660693948637,0.0,,406.92504846459263,
19,1938,19,19.0,0.2,0.4,1.0,2.5,1.0,0.015691489361702126,0.07121407121407121,0.033333333333333326,0.06446886446886448,550.0,5258.050971241911,0.0,341.0153068389511,127.00755526362072,0.6050659096599664,20.417267156414184,0.3209748264008325,17.029401910117183,0.0,0.0,0.0,994.9253731343283,,,468.0228621025718,0.926040736060799,0.0,,468.0228621025718,
20,1939,20,20.0,0.0,0.0,1.0,2.5,1.0,0.015789473684210527,0.07021891780256093,0.0326975476839237,0.0636042402826855,550.0,5725.54432036338,0.0,387.2514822108459,146.97917731629437,0.6893306966331703,21.138332269438816,0.37539947782158806,17.657636645740386,0.0,0.0,0.0,1044.6716417910447,,,534.2306595271402,1.0647301744547584,0.0,,534.2306595271402,
21,1940,21,21.0,0.0,0.0,1.0,2.49,1.0,0.015885416666666666,0.06929510155316607,0.03209549071618037,0.06279863481228669,548.0,6183.140988989221,0.0,436.4114254956419,168.87704844326592,0.7793715585618627,21.87220265184529,0.43535998419925437,18.29754824593849,0.0,0.0,0.0,1094.4179104477612,,,605.2884739389078,1.214731542761117,0.0,,605.2884739389078,
22,1941,22,22.0,0.0,0.0,1.0,2.48,1.0,0.015979381443298968,0.06843521722414456,0.03152454780361757,0.062046204620462043,546.0,6630.919218070382,0.0,488.226325963188,192.7207336668843,0.8747899076236784,22.589175788781027,0.5021027144479377,18.90910646201906,0.0,0.0,0.0,1144.1641791044776,,,680.9470596300723,1.3768926220716162,0.0,,680.9470596300723,
23,1942,23,23.0,0.0,0.0,1.0,2.47,1.0,0.01607142857142857,0.06763285024154589,0.030982367758186396,0.06134185303514377,544.0,7068.961230565134,0.0,542.4540157976439,218.51316208969843,0.9751927485031378,23.31808952062218,0.5746815579193104,19.531391336782093,0.0,0.0,0.0,1193.910447761194,,,760.9671778873424,1.5498743064224483,0.0,,760.9671778873424,
